FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SOLD_PRODUCTS,Prodotti venduti,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2021-03,104.3,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2021-04,106.6,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2021-05,109.4,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2021-06,108.9,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2021-07,109.1,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2021-08,111.8,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2021-09,114.3,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2021-10,120.4,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2021-11,123.1,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2021-12,124.2,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2022-01,125.9,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2022-02,127.9,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2022-03,136.1,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2022-04,137,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2022-05,138.2,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2022-06,137.2,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2022-07,137,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2022-08,140.2,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2022-09,138.6,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2022-10,140.6,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2022-11,139.7,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2022-12,139.1,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2023-01,135.2,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2023-02,132,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2023-03,130.9,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2023-04,127.8,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2023-05,125.9,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2023-06,122.8,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2023-07,122.6,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2023-08,124.5,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2023-09,124.3,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2023-10,126.9,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2023-11,129.4,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2023-12,130.2,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2024-01,131.3,,
